Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-182.1944	-243.2333	61.03889	0.0167581	0.0199659	0.00633645	0.00114687	0.119537	0.0445227	0.0430838	0.00567267	0.0339734	0.0247185	0.0572004	0.117534	0.104474	0.0333466	0.00286861	0.014965	0.00595146	0.0198116	0.0399832	0.115313	0.0258886	0.0177507	0.0408342	0.00571584	0.057461	0.0495472	0.06975	0.0130399	0.0513943	0.0350444	0.0039077	0.0129442	0.032069	0.00544476	0.0076495	0.0022249	0.00740442	0.0703847	0.00183042	0.0519889	0.00618699	0.060377	0.0809236	0.14833	0.00320316	0.000666718	0.0188923	0.9042713	1.095729	0.0118517	0.114968	0.509234	1.96373	8.69806	84.3762	3.207017	1.211726	0.00981145	0.0116895	0.00370982	0.000671465	0.0699861	0.0260669	0.0252244	0.0033212	0.0198905	0.014472	0.0334894	0.068813	0.0611668	0.0195236	0.00167949	0.00876162	0.00348442	0.0115992	0.0234091	0.0675126	0.0151571	0.0103926	0.0239073	0.00334648	0.0336419	0.0290086	0.0408368	0.00763453	0.03009	0.0205176	0.00228786	0.00757847	0.0187756	0.00318777	0.00447858	0.00130262	0.00433509	0.0412084	0.00107166	0.0304381	0.00362232	0.0353492	0.0473786	0.0868435	0.00187536	0.000390346	0.0110609	0.547864	0.452136	1.708018
36	-178.1702	-239.3063	61.13608	0.00121184	0.0261379	0.000758944	0.000291312	0.0248747	0.0138356	0.00695118	0.0141625	0.0432666	0.0370523	0.0189683	0.0270563	0.0190587	0.0145425	0.000505455	0.00821306	0.00363899	0.0199658	0.0151451	0.0215173	0.0103154	0.00555212	0.00984282	0.00502521	0.0472837	0.00046428	0.00174988	0.00321851	0.00675038	0.00113779	0.00889758	0.0212958	0.0303071	0.0107844	0.0185834	0.0121504	0.0111477	0.00261547	0.00387937	0.033853	0.00200157	0.00369739	0.00406391	0.0360209	0.0176976	0.00181975	0.0165251	0.780323	1.219677	0.00402641	0.0679067	0.432094	2.31431	14.7261	248.36	3.987638	1.563041	0.00188222	0.0405972	0.00117879	0.000452464	0.0386352	0.0214894	0.0107965	0.0219971	0.0672014	0.0575494	0.0294614	0.0420237	0.0296018	0.0225872	0.000785069	0.0127565	0.00565205	0.0310107	0.0235232	0.0334205	0.0160218	0.00862352	0.0152878	0.00780512	0.0734407	0.000721116	0.00271791	0.00499897	0.0104846	0.00176721	0.0138197	0.0330765	0.0470728	0.0167503	0.0288637	0.0188719	0.0173145	0.00406233	0.00602541	0.0525803	0.00310883	0.00574275	0.00631203	0.0559474	0.0274878	0.00282642	0.0256666	0.609839	0.390161	0.6438349
72	-188.1128	-250.6884	62.57562	0.00287703	0.0149262	0.00366761	0.00971826	0.00284056	0.00822503	0.00397251	0.00317565	0.0158058	0.023365	0.017891	0.00851454	0.0211088	0.00319491	0.00638897	0.0238035	0.00195136	0.0242785	0.00533437	0.0110372	0.00210705	0.00469895	0.019347	0.0148977	0.0277598	0.0152828	0.0322075	0.0114192	0.0122402	0.0108734	0.0161155	0.0137968	0.0142509	0.00572197	0.0103353	0.0340622	0.00944847	0.024435	0.00679557	0.0348806	0.00401668	0.0202482	0.0271766	0.0421234	0.0148983	0.000961829	0.0237045	0.8519943	1.148006	0.0238977	0.161853	0.566578	1.76498	6.17846	41.8451	2.699921	1.347433	0.00432062	0.0224156	0.00550789	0.0145946	0.00426587	0.0123521	0.00596578	0.00476909	0.0237366	0.0350888	0.0268682	0.0127869	0.0317005	0.004798	0.00959474	0.0357473	0.00293048	0.0364607	0.00801098	0.0165753	0.00316429	0.00705673	0.0290546	0.0223728	0.0416887	0.0229512	0.0483682	0.017149	0.0183819	0.0163294	0.0242017	0.0207196	0.0214016	0.00859306	0.0155212	0.0511535	0.0141894	0.0366957	0.0102054	0.0523826	0.00603212	0.0304081	0.040813	0.0632595	0.0223737	0.00144444	0.0355986	0.574003	0.425997	0.6658824
108	-180.1094	-243.537	63.42758	0.0270962	0.00769354	0.0273751	0.0385397	0.0769743	0.0101471	0.0736125	0.0699623	0.0248257	0.0105798	0.028739	0.0325428	0.0771625	0.00458592	0.0108781	0.00165254	0.0082356	0.0192057	0.00815397	0.00259586	0.0387421	0.0150728	0.0120115	0.0338862	0.0246384	0.0272279	0.0053621	0.0405947	0.0247516	0.0220742	0.0288508	0.0120061	0.00807154	0.0410904	0.0173983	0.0223283	0.0339258	0.0426393	0.00167387	0.0318427	0.0107651	0.0533211	0.02773	0.0555527	0.0193435	0.0040665	0.000259324	1.274951	0.7250487	0.0487715	0.2292	0.631537	1.58344	4.36299	20.5038	2.184108	0.5686873	0.022287	0.00632804	0.0225164	0.0316995	0.0633124	0.00834611	0.0605473	0.0575449	0.0204194	0.00870201	0.0236382	0.0267669	0.0634672	0.00377198	0.00894737	0.00135923	0.00677389	0.015797	0.00670675	0.00213513	0.0318659	0.0123976	0.00987959	0.0278719	0.0202655	0.0223953	0.0044104	0.0333897	0.0203585	0.0181563	0.0237302	0.0098752	0.00663896	0.0337974	0.0143104	0.0183653	0.0279044	0.0350714	0.00137678	0.0261911	0.00885446	0.0438574	0.0228083	0.0456929	0.0159103	0.00334475	0.000213298	0.362524	0.637476	1.215785
144	-180.2669	-243.7247	63.45776	0.0056261	0.00390506	0.0241981	0.013911	0.0288762	0.00575797	0.0226364	0.0595151	0.0163596	0.0220971	0.0130575	0.0240733	0.053071	0.00149878	0.00395222	0.00848421	0.00983776	0.0100738	0.0279841	0.00716922	0.0488559	0.0376599	0.0090392	0.0591279	0.0122379	0.0176673	0.0029592	0.00904877	0.00514425	0.0102238	0.00805018	0.0166299	0.0162753	0.00957563	0.0519027	0.0163222	0.00682446	0.00906549	0.0176247	0.0195695	0.00430069	0.0310435	0.0365775	0.0334478	0.0102351	0.0114645	0.00423816	1.045066	0.9549343	0.0571663	0.247659	0.646984	1.54563	4.03781	17.4928	2.069272	0.9137553	0.00641374	0.00445176	0.0275858	0.0158585	0.0329187	0.00656406	0.0258054	0.067847	0.0186499	0.0251906	0.0148855	0.0274435	0.0605008	0.00170861	0.00450552	0.00967196	0.011215	0.0114841	0.0319018	0.00817288	0.0556956	0.0429321	0.0103047	0.0674055	0.0139511	0.0201406	0.00337347	0.0103156	0.00586443	0.0116551	0.00917718	0.018958	0.0185538	0.0109162	0.0591689	0.0186072	0.00777986	0.0103346	0.0200921	0.0223092	0.00490277	0.0353895	0.0416982	0.0381303	0.011668	0.0130695	0.00483149	0.477467	0.522533	0.8771959
180	-187.4828	-248.8452	61.36247	0.00315637	0.00460413	0.00110842	0.00354258	0.00108281	0.0038727	0.00298653	0.0031973	0.00188936	0.00245757	0.00427457	0.00178526	0.00295605	0.000181292	0.000144802	0.00405521	0.00492552	0.000460942	0.0033982	0.0102599	0.000785302	0.00272731	0.00257549	0.00264643	0.00331608	0.00604679	0.00015925	0.00160585	2.83482e-05	0.00163919	0.00306727	0.000308582	0.000100438	0.000584408	0.00130393	0.0011361	0.000304818	3.7301e-05	0.00165955	0.00104683	0.000755826	0.000328295	0.000398511	0.000371509	0.000504256	0.00298935	0.00142908	1.037768	0.9622315	0.00770396	0.0931848	0.47693	2.09674	10.7314	129.803	3.518468	0.9272121	0.0321438	0.0468874	0.0112879	0.0360768	0.0110271	0.0394386	0.0304141	0.0325606	0.0192408	0.0250273	0.0435312	0.0181806	0.0301037	0.00184624	0.00147463	0.0412973	0.0501603	0.00469412	0.0346065	0.104484	0.00799733	0.0277743	0.0262282	0.0269506	0.0337701	0.0615791	0.00162177	0.0163535	0.000288691	0.0166931	0.0312363	0.00314252	0.00102284	0.00595148	0.0132789	0.0115697	0.0031042	0.000379864	0.0169005	0.0106606	0.00769715	0.00334328	0.00405834	0.00378335	0.00513522	0.0304428	0.0145534	0.481116	0.518884	0.09819555
216	-189.9512	-252.1454	62.19415	0.0167111	0.00238486	0.00626932	0.0102264	0.0232633	0.04149	0.00663229	0.000906633	0.00683391	0.0108067	0.0483697	0.0146863	0.0222723	0.00780535	0.00291385	0.00667204	0.00666271	0.00651959	0.00800443	0.0263649	0.00722109	0.0363983	0.00590819	0.0261706	0.0132604	0.0242066	0.00442243	0.000752805	0.00304025	0.0143489	0.0225032	0.0115816	0.0140839	0.00775188	0.00175142	0.0150064	0.0095556	0.00114359	0.0112808	0.0147551	0.00254154	0.00457348	0.00969338	0.00485144	0.00300307	0.0140697	8.05929e-05	0.8955533	1.104447	0.0117344	0.114412	0.508464	1.96671	8.74034	85.2193	3.214206	1.233256	0.0298545	0.00426056	0.0112002	0.0182695	0.04156	0.0741221	0.0118486	0.00161971	0.0122088	0.0193063	0.0864128	0.0262371	0.0397897	0.0139443	0.00520561	0.0119196	0.011903	0.0116473	0.0143	0.0471011	0.0129005	0.0650257	0.010555	0.0467539	0.0236898	0.0432453	0.0079007	0.00134489	0.00543142	0.0256343	0.0402022	0.0206906	0.0251609	0.0138488	0.00312892	0.026809	0.0170711	0.00204303	0.0201533	0.02636	0.00454048	0.00817054	0.0173173	0.00866711	0.005365	0.0251357	0.00014398	0.552223	0.447777	0.5597521
252	-179.4176	-241.9959	62.57826	0.00573131	0.0302486	0.00388976	0.00347434	0.0110965	0.0237076	0.00815929	0.0117444	0.00774701	0.00260482	0.00429915	0.00039833	0.00769099	0.000563592	0.000267005	0.00390312	0.0048847	0.0264422	0.00379537	0.0149148	0.00863926	0.0313858	0.00883164	0.00286434	0.0312932	0.0217805	0.00233107	0.00497586	0.0093946	0.0122966	0.00294527	0.00772436	0.0169918	0.00490463	0.00151513	0.000883778	0.00191927	0.00871392	0.0209299	0.00120172	0.00486872	0.00883762	0.00212435	0.028718	0.0103803	0.0046739	0.0025662	1.143984	0.8560158	0.0100912	0.106296	0.496926	2.01237	9.40768	99.0965	3.323292	0.7482759	0.0130478	0.0688634	0.00885538	0.00790962	0.0252621	0.0539723	0.0185753	0.0267371	0.0176367	0.00593009	0.00978739	0.000906832	0.0175092	0.00128306	0.00060786	0.00888578	0.0111204	0.0601978	0.00864048	0.0339547	0.019668	0.0714524	0.020106	0.0065209	0.0712416	0.0495852	0.00530688	0.011328	0.0213876	0.0279942	0.00670517	0.0175852	0.0386833	0.0111658	0.00344933	0.002012	0.00436938	0.019838	0.0476487	0.00273581	0.0110841	0.0201196	0.00483625	0.0653789	0.0236317	0.0106405	0.00584218	0.428008	0.571992	0.4392545
288	-184.7287	-246.9367	62.20804	0.000791654	0.00485568	0.00820462	0.0156834	0.000209184	0.0107732	0.00426175	0.0143553	0.00835047	0.0125012	0.000826057	0.000317393	0.0462631	0.000243006	0.00164596	0.00454912	0.0162595	0.000230147	0.000548385	0.0161826	0.0147158	0.0291756	0.000389315	0.00233631	0.0133541	0.0434321	0.0122618	0.000519713	0.00237335	0.00438984	0.00760267	0.0273386	0.0293446	0.00267212	0.0038225	0.00261075	0.00182469	0.0194423	0.0836014	0.0116026	0.0123304	0.00155476	0.0362778	0.00837638	0.0168366	0.00159319	0.00105043	0.9978337	1.002166	0.00893201	0.100155	0.487785	2.05008	9.98452	111.957	3.411522	1.004342	0.00141904	0.00870379	0.0147068	0.0281125	0.000374962	0.0193109	0.00763917	0.0257318	0.0149682	0.0224083	0.0014807	0.000568925	0.0829264	0.000435587	0.00295037	0.00815428	0.029145	0.000412538	0.000982979	0.0290073	0.026378	0.0522971	0.000697845	0.00418783	0.0239371	0.0778519	0.0219792	0.000931583	0.00425422	0.00786877	0.0136278	0.0490043	0.0526001	0.00478976	0.00685181	0.00467976	0.00327076	0.0348502	0.149855	0.0207977	0.0221021	0.0027869	0.0650278	0.0150146	0.0301796	0.00285578	0.00188289	0.501083	0.498917	0.5578814
324	-181.7874	-243.3665	61.57909	0.040725	0.0614324	0.0640006	0.145016	0.16435	0.185666	0.0659308	0.00874214	0.0572878	0.0413776	0.0260255	0.00447523	0.160293	0.000915712	0.0104147	0.0604288	0.0293472	0.00188404	0.0235209	0.309462	0.0424415	0.0499219	0.119065	0.06937	0.00935678	0.0204013	0.0958115	0.00542475	0.00846093	0.0406662	0.0728454	0.0223251	0.0333786	0.0719599	0.0538517	0.0245536	0.0266027	0.0144583	0.0016088	0.0383477	0.0230049	0.0387345	0.0472248	0.00310449	0.039513	0.0228945	0.0100854	1.062478	0.9375225	0.0788436	0.289701	0.67942	1.47184	3.45183	12.6833	1.836804	0.8823927	0.0165098	0.0249046	0.0259458	0.0587894	0.0666272	0.0752688	0.0267282	0.00354405	0.0232244	0.0167744	0.0105507	0.00181425	0.0649827	0.000371228	0.0042221	0.0244978	0.0118973	0.000763787	0.00953534	0.125455	0.0172057	0.0202382	0.0482686	0.0281225	0.00379322	0.00827065	0.0388418	0.00219919	0.00343005	0.016486	0.0295314	0.00905056	0.0135316	0.0291724	0.0218314	0.009954	0.0107847	0.00586137	0.000652205	0.0155461	0.00932617	0.0157029	0.0191449	0.00125855	0.0160185	0.00928138	0.00408862	0.468761	0.531239	2.466709
